,SVM_dict_v2,SVM_dict_v3,SVM_dict_v4
Model,SVM,SVM,SVM
Version,2,3,4
Kernel,Linear with Standardized Data,RBF with Standardized Data,Polynomial with Standardized Datas
Precision,0.7896070975918885,0.8361850443599493,0.811787072243346
Recall,0.8909545942080801,0.8957909029192125,0.8902015288394719
F1 Score,0.8372249286074249,0.8649623074401837,0.8491879350348028
Accuracy,0.844835868694956,0.8680544435548438,0.8542834267413931
AUC,0.8454348210523379,0.8684000650741152,0.8547442968856743
